2020.09.10-12.47.50,v1.06-2-gafd7e38,0 , 114 , (11 20 7 1 6) , 2000 , none,  459
2020.09.10-12.47.50,v1.06-2-gafd7e38,1 , 114 , (11 20 7 1 6) , 657 , ((20 * 6) - (7 - 1)) , 101
2020.09.10-12.47.50,v1.06-2-gafd7e38,2 , 114 , (11 20 7 1 6) , 588 , ((20 * 6) - (7 - 1)) , 70
2020.09.10-12.47.50,v1.06-2-gafd7e38,3 , 114 , (11 20 7 1 6) , 329 , ((6 * 20) - (7 - 1)) , 45
2020.09.10-12.47.50,v1.06-2-gafd7e38,4 , 114 , (11 20 7 1 6) , 135 , ((20 * 6) - (7 - 1)) , 7
2020.09.10-12.47.50,v1.06-2-gafd7e38,5 , 114 , (11 20 7 1 6) , 2000 , none,  406
2020.09.10-12.47.50,v1.06-2-gafd7e38,6 , 114 , (11 20 7 1 6) , 429 , ((6 * 20) - (7 - 1)) , 70
2020.09.10-12.47.50,v1.06-2-gafd7e38,7 , 114 , (11 20 7 1 6) , 270 , ((20 * 6) - (7 - 1)) , 54
2020.09.10-12.47.50,v1.06-2-gafd7e38,8 , 114 , (11 20 7 1 6) , 1599 , ((20 * 6) - (7 - 1)) , 117
2020.09.10-12.47.50,v1.06-2-gafd7e38,9 , 114 , (11 20 7 1 6) , 2000 , none,  444
2020.09.10-12.47.50,v1.06-2-gafd7e38,10 , 114 , (11 20 7 1 6) , 1799 , ((6 * 20) - (7 - 1)) , 384
2020.09.10-12.47.50,v1.06-2-gafd7e38,11 , 114 , (11 20 7 1 6) , 821 , ((20 * 6) - (7 - 1)) , 78
2020.09.10-12.47.50,v1.06-2-gafd7e38,12 , 114 , (11 20 7 1 6) , 1924 , ((6 * 20) - (7 - 1)) , 354
2020.09.10-12.47.50,v1.06-2-gafd7e38,13 , 114 , (11 20 7 1 6) , 2000 , none,  439
2020.09.10-12.47.50,v1.06-2-gafd7e38,14 , 114 , (11 20 7 1 6) , 2000 , none,  462
2020.09.10-12.47.50,v1.06-2-gafd7e38,15 , 114 , (11 20 7 1 6) , 356 , ((6 * 20) - (7 - 1)) , 57
2020.09.10-12.47.50,v1.06-2-gafd7e38,16 , 114 , (11 20 7 1 6) , 438 , ((6 * 20) - (7 - 1)) , 37
2020.09.10-12.47.50,v1.06-2-gafd7e38,17 , 114 , (11 20 7 1 6) , 169 , ((6 * 20) - (7 - 1)) , 9
2020.09.10-12.47.50,v1.06-2-gafd7e38,18 , 114 , (11 20 7 1 6) , 141 , ((6 * 20) - (7 - 1)) , 18
2020.09.10-12.47.50,v1.06-2-gafd7e38,19 , 114 , (11 20 7 1 6) , 366 , ((20 * 6) - (7 - 1)) , 57
2020.09.10-12.47.50,v1.06-2-gafd7e38,20 , 114 , (11 20 7 1 6) , 2000 , none,  212
2020.09.10-12.47.50,v1.06-2-gafd7e38,21 , 114 , (11 20 7 1 6) , 430 , ((6 * 20) - (7 - 1)) , 67
2020.09.10-12.47.50,v1.06-2-gafd7e38,22 , 114 , (11 20 7 1 6) , 639 , ((6 * 20) - (7 - 1)) , 95
2020.09.10-12.47.50,v1.06-2-gafd7e38,23 , 114 , (11 20 7 1 6) , 768 , ((6 * 20) - (7 - 1)) , 137
2020.09.10-12.47.50,v1.06-2-gafd7e38,24 , 114 , (11 20 7 1 6) , 1316 , ((20 * 6) - (7 - 1)) , 112
2020.09.10-12.47.50,v1.06-2-gafd7e38,25 , 114 , (11 20 7 1 6) , 399 , ((6 * 20) - (7 - 1)) , 64
2020.09.10-12.47.50,v1.06-2-gafd7e38,26 , 114 , (11 20 7 1 6) , 1699 , ((20 * 6) - (7 - 1)) , 280
2020.09.10-12.47.50,v1.06-2-gafd7e38,27 , 114 , (11 20 7 1 6) , 142 , ((6 * 20) - (7 - 1)) , 10
2020.09.10-12.47.50,v1.06-2-gafd7e38,28 , 114 , (11 20 7 1 6) , 2000 , none,  400
2020.09.10-12.47.50,v1.06-2-gafd7e38,29 , 114 , (11 20 7 1 6) , 1485 , ((6 * 20) - (7 - 1)) , 265
2020.09.10-12.47.50,v1.06-2-gafd7e38,30 , 114 , (11 20 7 1 6) , 2000 , none,  455
2020.09.10-12.47.50,v1.06-2-gafd7e38,31 , 114 , (11 20 7 1 6) , 159 , ((6 * 20) - (7 - 1)) , 12
2020.09.10-12.47.50,v1.06-2-gafd7e38,32 , 114 , (11 20 7 1 6) , 576 , ((6 * 20) - (7 - 1)) , 29
2020.09.10-12.47.50,v1.06-2-gafd7e38,33 , 114 , (11 20 7 1 6) , 302 , ((6 * 20) - (7 - 1)) , 28
2020.09.10-12.47.50,v1.06-2-gafd7e38,34 , 114 , (11 20 7 1 6) , 548 , ((20 * 6) - (7 - 1)) , 107
2020.09.10-12.47.50,v1.06-2-gafd7e38,35 , 114 , (11 20 7 1 6) , 2000 , none,  465
2020.09.10-12.47.50,v1.06-2-gafd7e38,36 , 114 , (11 20 7 1 6) , 2000 , none,  437
2020.09.10-12.47.50,v1.06-2-gafd7e38,37 , 114 , (11 20 7 1 6) , 1087 , ((6 * 20) - (7 - 1)) , 148
2020.09.10-12.47.50,v1.06-2-gafd7e38,38 , 114 , (11 20 7 1 6) , 120 , ((20 * 6) - (7 - 1)) , 9
2020.09.10-12.47.50,v1.06-2-gafd7e38,39 , 114 , (11 20 7 1 6) , 564 , ((6 * 20) - (7 - 1)) , 21
2020.09.10-12.47.50,v1.06-2-gafd7e38,40 , 114 , (11 20 7 1 6) , 590 , ((20 * 6) - (7 - 1)) , 44
2020.09.10-12.47.50,v1.06-2-gafd7e38,41 , 114 , (11 20 7 1 6) , 368 , ((6 * 20) - (7 - 1)) , 52
2020.09.10-12.47.50,v1.06-2-gafd7e38,42 , 114 , (11 20 7 1 6) , 243 , ((20 * 6) - (7 - 1)) , 51
2020.09.10-12.47.50,v1.06-2-gafd7e38,43 , 114 , (11 20 7 1 6) , 542 , ((6 * 20) - (7 - 1)) , 44
2020.09.10-12.47.50,v1.06-2-gafd7e38,44 , 114 , (11 20 7 1 6) , 296 , ((20 * 6) - (7 - 1)) , 24
2020.09.10-12.47.50,v1.06-2-gafd7e38,45 , 114 , (11 20 7 1 6) , 78 , ((6 * 20) - (7 - 1)) , 10
