2020.08.04-21.15.30,v1.04-1-g0b26dcd,0 , 114 , (11 20 7 1 6) , 414 , ((6 * 20) - (7 - 1))
2020.08.04-21.15.30,v1.04-1-g0b26dcd,1 , 114 , (11 20 7 1 6) , 1000 , ((6 * 20) - (7 - 1))
2020.08.04-21.15.30,v1.04-1-g0b26dcd,2 , 114 , (11 20 7 1 6) , 364 , ((6 * 20) - (7 - 1))
2020.08.04-21.15.30,v1.04-1-g0b26dcd,3 , 114 , (11 20 7 1 6) , 767 , ((6 * 20) - (7 - 1))
2020.08.04-21.15.30,v1.04-1-g0b26dcd,4 , 114 , (11 20 7 1 6) , 629 , ((20 * 6) - (7 - 1))
2020.08.04-21.15.30,v1.04-1-g0b26dcd,5 , 114 , (11 20 7 1 6) , 1260 , ((6 * 20) - (7 - 1))
2020.08.04-21.15.30,v1.04-1-g0b26dcd,6 , 114 , (11 20 7 1 6) , 52 , ((6 * 20) - (7 - 1))
2020.08.04-21.15.30,v1.04-1-g0b26dcd,7 , 114 , (11 20 7 1 6) , 1385 , ((6 * 20) - (7 - 1))
2020.08.04-21.15.30,v1.04-1-g0b26dcd,8 , 114 , (11 20 7 1 6) , 1082 , ((6 * 20) - (7 - 1))
2020.08.04-21.15.30,v1.04-1-g0b26dcd,9 , 114 , (11 20 7 1 6) , 2082 , ((6 * 20) - (7 - 1))
2020.08.04-21.15.30,v1.04-1-g0b26dcd,10 , 114 , (11 20 7 1 6) , 796 , ((6 * 20) - (7 - 1))
2020.08.04-21.15.30,v1.04-1-g0b26dcd,11 , 114 , (11 20 7 1 6) , 6735 , ((6 * 20) - (7 - 1))
2020.08.04-21.15.30,v1.04-1-g0b26dcd,12 , 114 , (11 20 7 1 6) , 2930 , ((6 * 20) - (7 - 1))
2020.08.04-21.15.30,v1.04-1-g0b26dcd,13 , 114 , (11 20 7 1 6) , 621 , ((20 * 6) - (7 - 1))
2020.08.04-21.15.30,v1.04-1-g0b26dcd,14 , 114 , (11 20 7 1 6) , 719 , ((6 * 20) - (7 - 1))
2020.08.04-21.15.30,v1.04-1-g0b26dcd,15 , 114 , (11 20 7 1 6) , 1099 , ((6 * 20) - (7 - 1))
2020.08.04-21.15.30,v1.04-1-g0b26dcd,16 , 114 , (11 20 7 1 6) , 2435 , ((20 * 6) - (7 - 1))
2020.08.04-21.15.30,v1.04-1-g0b26dcd,17 , 114 , (11 20 7 1 6) , 2309 , ((6 * 20) - (7 - 1))
2020.08.04-21.15.30,v1.04-1-g0b26dcd,18 , 114 , (11 20 7 1 6) , 6790 , ((6 * 20) - (7 - 1))
2020.08.04-21.15.30,v1.04-1-g0b26dcd,19 , 114 , (11 20 7 1 6) , 1808 , ((6 * 20) - (7 - 1))
2020.08.04-21.15.30,v1.04-1-g0b26dcd,20 , 114 , (11 20 7 1 6) , 80 , ((20 * 6) - (7 - 1))
2020.08.04-21.15.30,v1.04-1-g0b26dcd,21 , 114 , (11 20 7 1 6) , 2240 , ((6 * 20) - (7 - 1))
2020.08.04-21.15.30,v1.04-1-g0b26dcd,22 , 114 , (11 20 7 1 6) , 949 , ((6 * 20) - (7 - 1))
2020.08.04-21.15.30,v1.04-1-g0b26dcd,23 , 114 , (11 20 7 1 6) , 158 , ((6 * 20) - (7 - 1))
2020.08.04-21.15.30,v1.04-1-g0b26dcd,24 , 114 , (11 20 7 1 6) , 317 , ((6 * 20) - (7 - 1))
2020.08.04-21.15.30,v1.04-1-g0b26dcd,25 , 114 , (11 20 7 1 6) , 315 , ((6 * 20) - (7 - 1))
2020.08.04-21.15.30,v1.04-1-g0b26dcd,26 , 114 , (11 20 7 1 6) , 346 , ((6 * 20) - (7 - 1))
2020.08.04-21.15.30,v1.04-1-g0b26dcd,27 , 114 , (11 20 7 1 6) , 1796 , ((6 * 20) - (7 - 1))
2020.08.04-21.15.30,v1.04-1-g0b26dcd,28 , 114 , (11 20 7 1 6) , 2470 , ((6 * 20) - (7 - 1))
2020.08.04-21.15.30,v1.04-1-g0b26dcd,29 , 114 , (11 20 7 1 6) , 2799 , ((6 * 20) - (7 - 1))
2020.08.04-21.15.30,v1.04-1-g0b26dcd,30 , 114 , (11 20 7 1 6) , 860 , ((6 * 20) - (7 - 1))
2020.08.04-21.15.30,v1.04-1-g0b26dcd,31 , 114 , (11 20 7 1 6) , 89 , ((6 * 20) - (7 - 1))
2020.08.04-21.15.30,v1.04-1-g0b26dcd,32 , 114 , (11 20 7 1 6) , 728 , ((6 * 20) - (7 - 1))
