2020.08.10-07.15.19,v1.04-5-g727ef31,0 , 114 , (11 20 7 1 6) , 755 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,1 , 114 , (11 20 7 1 6) , 3443 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,2 , 114 , (11 20 7 1 6) , 705 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,3 , 114 , (11 20 7 1 6) , 149 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,4 , 114 , (11 20 7 1 6) , 5000 , none
2020.08.10-07.15.19,v1.04-5-g727ef31,5 , 114 , (11 20 7 1 6) , 1212 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,6 , 114 , (11 20 7 1 6) , 1559 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,7 , 114 , (11 20 7 1 6) , 2503 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,8 , 114 , (11 20 7 1 6) , 2927 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,9 , 114 , (11 20 7 1 6) , 1536 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,10 , 114 , (11 20 7 1 6) , 1783 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,11 , 114 , (11 20 7 1 6) , 5000 , none
2020.08.10-07.15.19,v1.04-5-g727ef31,12 , 114 , (11 20 7 1 6) , 167 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,13 , 114 , (11 20 7 1 6) , 607 , ((20 * 6) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,14 , 114 , (11 20 7 1 6) , 4145 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,15 , 114 , (11 20 7 1 6) , 929 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,16 , 114 , (11 20 7 1 6) , 282 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,17 , 114 , (11 20 7 1 6) , 5000 , none
2020.08.10-07.15.19,v1.04-5-g727ef31,18 , 114 , (11 20 7 1 6) , 3114 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,19 , 114 , (11 20 7 1 6) , 1157 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,20 , 114 , (11 20 7 1 6) , 1631 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,21 , 114 , (11 20 7 1 6) , 666 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,22 , 114 , (11 20 7 1 6) , 2231 , ((20 * 6) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,23 , 114 , (11 20 7 1 6) , 1638 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,24 , 114 , (11 20 7 1 6) , 3325 , ((20 * 6) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,25 , 114 , (11 20 7 1 6) , 1619 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,26 , 114 , (11 20 7 1 6) , 749 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,27 , 114 , (11 20 7 1 6) , 254 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,28 , 114 , (11 20 7 1 6) , 85 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,29 , 114 , (11 20 7 1 6) , 989 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,30 , 114 , (11 20 7 1 6) , 595 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,31 , 114 , (11 20 7 1 6) , 4697 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,32 , 114 , (11 20 7 1 6) , 449 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,33 , 114 , (11 20 7 1 6) , 1961 , ((6 * 20) - (7 - 1))
2020.08.10-07.15.19,v1.04-5-g727ef31,34 , 114 , (11 20 7 1 6) , 3737 , ((6 * 20) - (7 - 1))
