2020.08.22-13.47.00,v1.05-8-g8ea5981,0 , 114 , (11 20 7 1 6) , 2000 , none,  398
2020.08.22-13.47.00,v1.05-8-g8ea5981,1 , 114 , (11 20 7 1 6) , 84 , ((20 * 6) - (7 - 1)) , 0
2020.08.22-13.47.00,v1.05-8-g8ea5981,2 , 114 , (11 20 7 1 6) , 2000 , none,  655
2020.08.22-13.47.00,v1.05-8-g8ea5981,3 , 114 , (11 20 7 1 6) , 864 , ((6 * 20) - (7 - 1)) , 181
2020.08.22-13.47.00,v1.05-8-g8ea5981,4 , 114 , (11 20 7 1 6) , 1175 , ((6 * 20) - (7 - 1)) , 307
2020.08.22-13.47.00,v1.05-8-g8ea5981,5 , 114 , (11 20 7 1 6) , 2000 , none,  516
2020.08.22-13.47.00,v1.05-8-g8ea5981,6 , 114 , (11 20 7 1 6) , 774 , ((6 * 20) - (7 - 1)) , 259
2020.08.22-13.47.00,v1.05-8-g8ea5981,7 , 114 , (11 20 7 1 6) , 2000 , none,  616
2020.08.22-13.47.00,v1.05-8-g8ea5981,8 , 114 , (11 20 7 1 6) , 356 , ((6 * 20) - (7 - 1)) , 37
2020.08.22-13.47.00,v1.05-8-g8ea5981,9 , 114 , (11 20 7 1 6) , 487 , ((6 * 20) - (7 - 1)) , 14
2020.08.22-13.47.00,v1.05-8-g8ea5981,10 , 114 , (11 20 7 1 6) , 227 , ((6 * 20) - (7 - 1)) , 30
2020.08.22-13.47.00,v1.05-8-g8ea5981,11 , 114 , (11 20 7 1 6) , 1346 , ((6 * 20) - (7 - 1)) , 312
2020.08.22-13.47.00,v1.05-8-g8ea5981,12 , 114 , (11 20 7 1 6) , 544 , ((20 * 6) - (7 - 1)) , 91
2020.08.22-13.47.00,v1.05-8-g8ea5981,13 , 114 , (11 20 7 1 6) , 862 , ((6 * 20) - (7 - 1)) , 186
2020.08.22-13.47.00,v1.05-8-g8ea5981,14 , 114 , (11 20 7 1 6) , 1354 , ((6 * 20) - (7 - 1)) , 351
2020.08.22-13.47.00,v1.05-8-g8ea5981,15 , 114 , (11 20 7 1 6) , 2000 , none,  724
2020.08.22-13.47.00,v1.05-8-g8ea5981,16 , 114 , (11 20 7 1 6) , 2000 , none,  587
