2020.09.11-12.06.34,v1.07-3-g9c5ab23,0 , 114 , (11 20 7 1 6) , 659 , ((6*20)-(7-1))=114 , 179
2020.09.11-12.06.34,v1.07-3-g9c5ab23,1 , 114 , (11 20 7 1 6) , 1084 , ((20*6)-(7-1))=114 , 264
2020.09.11-12.06.34,v1.07-3-g9c5ab23,2 , 114 , (11 20 7 1 6) , 768 , ((20*6)-(7-1))=114 , 225
2020.09.11-12.06.34,v1.07-3-g9c5ab23,3 , 114 , (11 20 7 1 6) , 1098 , ((20*6)-(7-1))=114 , 332
2020.09.11-12.06.34,v1.07-3-g9c5ab23,4 , 114 , (11 20 7 1 6) , 1568 , ((6*20)-(7-1))=114 , 372
2020.09.11-12.06.34,v1.07-3-g9c5ab23,5 , 114 , (11 20 7 1 6) , 248 , ((6*20)-(7-1))=114 , 67
2020.09.11-12.06.34,v1.07-3-g9c5ab23,6 , 114 , (11 20 7 1 6) , 187 , ((6*20)-(7-1))=114 , 46
2020.09.11-12.06.34,v1.07-3-g9c5ab23,7 , 114 , (11 20 7 1 6) , 1998 , (6*(11+(1+7)))=114 , 599
2020.09.11-12.06.34,v1.07-3-g9c5ab23,8 , 114 , (11 20 7 1 6) , 629 , ((20*6)-(7-1))=114 , 193
2020.09.11-12.06.34,v1.07-3-g9c5ab23,9 , 114 , (11 20 7 1 6) , 1958 , ((20*6)-(7-1))=114 , 537
2020.09.11-12.06.34,v1.07-3-g9c5ab23,10 , 114 , (11 20 7 1 6) , 1118 , ((20*6)-(7-1))=114 , 284
2020.09.11-12.06.34,v1.07-3-g9c5ab23,11 , 114 , (11 20 7 1 6) , 910 , ((6*20)-(7-1))=114 , 276
2020.09.11-12.06.34,v1.07-3-g9c5ab23,12 , 114 , (11 20 7 1 6) , 2000 , none,  577
2020.09.11-12.06.34,v1.07-3-g9c5ab23,13 , 114 , (11 20 7 1 6) , 307 , ((6*20)-(7-1))=114 , 87
2020.09.11-12.06.34,v1.07-3-g9c5ab23,14 , 114 , (11 20 7 1 6) , 1527 , ((6*20)-(7-1))=114 , 407
2020.09.11-12.06.34,v1.07-3-g9c5ab23,15 , 114 , (11 20 7 1 6) , 2000 , none,  573
2020.09.11-12.06.34,v1.07-3-g9c5ab23,16 , 114 , (11 20 7 1 6) , 558 , (6*((1+11)+7))=114 , 171
2020.09.11-12.06.34,v1.07-3-g9c5ab23,17 , 114 , (11 20 7 1 6) , 2000 , none,  522
2020.09.11-12.06.34,v1.07-3-g9c5ab23,18 , 114 , (11 20 7 1 6) , 909 , ((6*20)-(7-1))=114 , 245
