2020.11.24-08.39.35,,53 , 114 , (11 20 7 1 6) , 330 , ((6*20)-(7-1))=114 , 97
2020.11.24-08.39.35,,54 , 114 , (11 20 7 1 6) , 1870 , ((20*6)-(7-1))=114 , 518
2020.11.24-08.39.35,,55 , 114 , (11 20 7 1 6) , 2000 , none,  612
2020.11.24-08.39.35,,56 , 114 , (11 20 7 1 6) , 1460 , ((6*20)-(7-1))=114 , 399
2020.11.24-08.39.35,,57 , 114 , (11 20 7 1 6) , 1940 , ((20*6)-(7-1))=114 , 552
2020.11.24-08.39.35,,58 , 114 , (11 20 7 1 6) , 250 , ((6*20)-(7-1))=114 , 49
2020.11.24-08.39.35,,59 , 114 , (11 20 7 1 6) , 1409 , ((20*6)-(7-1))=114 , 407
2020.11.24-08.39.35,,60 , 114 , (11 20 7 1 6) , 736 , ((20*6)-(7-1))=114 , 179
2020.11.24-08.39.35,,61 , 114 , (11 20 7 1 6) , 2000 , none,  537
2020.11.24-08.39.35,,62 , 114 , (11 20 7 1 6) , 2000 , none,  501
2020.11.24-08.39.35,,63 , 114 , (11 20 7 1 6) , 2000 , none,  695
2020.11.24-08.39.35,,64 , 114 , (11 20 7 1 6) , 223 , ((20*6)-(7-1))=114 , 56
2020.11.24-08.39.35,,65 , 114 , (11 20 7 1 6) , 248 , ((6*20)-(7-1))=114 , 76
2020.11.24-08.39.35,,66 , 114 , (11 20 7 1 6) , 2000 , none,  578
2020.11.24-08.39.35,,67 , 114 , (11 20 7 1 6) , 220 , ((6*20)-(7-1))=114 , 60
2020.11.24-08.39.35,,68 , 114 , (11 20 7 1 6) , 1745 , ((20*6)-(7-1))=114 , 493
2020.11.24-08.39.35,,69 , 114 , (11 20 7 1 6) , 140 , ((20*6)-(7-1))=114 , 26
2020.11.24-08.39.35,,70 , 114 , (11 20 7 1 6) , 109 , ((6*20)-(7-1))=114 , 10
2020.11.24-08.39.35,,71 , 114 , (11 20 7 1 6) , 490 , ((6*20)-(7-1))=114 , 165
2020.11.24-08.39.35,,72 , 114 , (11 20 7 1 6) , 968 , ((6*20)-(7-1))=114 , 234
2020.11.24-08.39.35,,73 , 114 , (11 20 7 1 6) , 2000 , none,  623
2020.11.24-08.39.35,,74 , 114 , (11 20 7 1 6) , 2000 , none,  575
2020.11.24-08.39.35,,75 , 114 , (11 20 7 1 6) , 701 , ((6*20)-(7-1))=114 , 219
2020.11.24-08.39.35,,76 , 114 , (11 20 7 1 6) , 2000 , none,  589
2020.11.24-08.39.35,,77 , 114 , (11 20 7 1 6) , 108 , ((20*6)-(7-1))=114 , 20
2020.11.24-08.39.35,,78 , 114 , (11 20 7 1 6) , 1390 , ((6*20)-(7-1))=114 , 499
2020.11.24-08.39.35,,79 , 114 , (11 20 7 1 6) , 804 , ((20*6)-(7-1))=114 , 272
2020.11.24-08.39.35,,80 , 114 , (11 20 7 1 6) , 2000 , none,  637
2020.11.24-08.39.35,,81 , 114 , (11 20 7 1 6) , 2000 , none,  612
2020.11.24-08.39.35,,82 , 114 , (11 20 7 1 6) , 2000 , none,  608
2020.11.24-08.39.35,,83 , 114 , (11 20 7 1 6) , 619 , ((20*6)-(7-1))=114 , 184
2020.11.24-08.39.35,,84 , 114 , (11 20 7 1 6) , 257 , ((6*20)-(7-1))=114 , 77
2020.11.24-08.39.35,,85 , 114 , (11 20 7 1 6) , 892 , ((20*6)-(7-1))=114 , 276
2020.11.24-08.39.35,,86 , 114 , (11 20 7 1 6) , 258 , ((20*6)-(7-1))=114 , 73
2020.11.24-08.39.35,,87 , 114 , (11 20 7 1 6) , 2000 , none,  658
2020.11.24-08.39.35,,88 , 114 , (11 20 7 1 6) , 1418 , ((20*6)-(7-1))=114 , 439
2020.11.24-08.39.35,,89 , 114 , (11 20 7 1 6) , 2000 , none,  641
2020.11.24-08.39.35,,90 , 114 , (11 20 7 1 6) , 1390 , ((20*6)-(7-1))=114 , 490
2020.11.24-08.39.35,,91 , 114 , (11 20 7 1 6) , 1922 , ((6*20)-(7-1))=114 , 560
2020.11.24-08.39.35,,92 , 114 , (11 20 7 1 6) , 2000 , none,  586
2020.11.24-08.39.35,,93 , 114 , (11 20 7 1 6) , 2000 , none,  593
2020.11.24-08.39.35,,94 , 114 , (11 20 7 1 6) , 211 , ((20*6)-(7-1))=114 , 50
2020.11.24-08.39.35,,95 , 114 , (11 20 7 1 6) , 699 , ((6*20)-(7-1))=114 , 218
2020.11.24-08.39.35,,96 , 114 , (11 20 7 1 6) , 210 , ((6*20)-(7-1))=114 , 52
2020.11.24-08.39.35,,97 , 114 , (11 20 7 1 6) , 860 , ((20*6)-(7-1))=114 , 226
2020.11.24-08.39.35,,98 , 114 , (11 20 7 1 6) , 1899 , ((6*20)-(7-1))=114 , 567
2020.11.24-08.39.35,,99 , 114 , (11 20 7 1 6) , 400 , ((20*6)-(7-1))=114 , 103
2020.11.24-08.39.35,,0 , 87 , (8 3 9 10 7) , 317 , ((9*10)-3)=87 , 103
2020.11.24-08.39.35,,1 , 87 , (8 3 9 10 7) , 769 , ((10*8)+7)=87 , 175
2020.11.24-08.39.35,,2 , 87 , (8 3 9 10 7) , 68 , ((9*10)-3)=87 , 10
2020.11.24-08.39.35,,3 , 87 , (8 3 9 10 7) , 48 , ((10*8)+7)=87 , 5
2020.11.24-08.39.35,,4 , 87 , (8 3 9 10 7) , 396 , ((10*9)-3)=87 , 104
2020.11.24-08.39.35,,5 , 87 , (8 3 9 10 7) , 54 , ((9*10)-3)=87 , 0
2020.11.24-08.39.35,,6 , 87 , (8 3 9 10 7) , 2000 , none,  543
2020.11.24-08.39.35,,7 , 87 , (8 3 9 10 7) , 2000 , none,  708
2020.11.24-08.39.35,,8 , 87 , (8 3 9 10 7) , 2000 , none,  670
2020.11.24-08.39.35,,9 , 87 , (8 3 9 10 7) , 368 , ((9*10)-3)=87 , 73
2020.11.24-08.39.35,,10 , 87 , (8 3 9 10 7) , 387 , ((9*10)-3)=87 , 95
2020.11.24-08.39.35,,11 , 87 , (8 3 9 10 7) , 539 , ((10*9)-3)=87 , 132
2020.11.24-08.39.35,,12 , 87 , (8 3 9 10 7) , 1349 , ((10*8)+7)=87 , 380
2020.11.24-08.39.35,,13 , 87 , (8 3 9 10 7) , 1255 , ((9*10)-3)=87 , 415
2020.11.24-08.39.35,,14 , 87 , (8 3 9 10 7) , 1391 , ((9*10)-3)=87 , 440
2020.11.24-08.39.35,,15 , 87 , (8 3 9 10 7) , 377 , ((10*9)-3)=87 , 92
2020.11.24-08.39.35,,16 , 87 , (8 3 9 10 7) , 338 , ((9*10)-3)=87 , 75
2020.11.24-08.39.35,,17 , 87 , (8 3 9 10 7) , 359 , ((10*8)+7)=87 , 76
2020.11.24-08.39.35,,18 , 87 , (8 3 9 10 7) , 287 , ((8*10)+7)=87 , 83
2020.11.24-08.39.35,,19 , 87 , (8 3 9 10 7) , 361 , ((9*10)-3)=87 , 76
2020.11.24-08.39.35,,20 , 87 , (8 3 9 10 7) , 253 , ((9*10)-3)=87 , 68
2020.11.24-08.39.35,,21 , 87 , (8 3 9 10 7) , 388 , ((7*10)+(8+9))=87 , 74
2020.11.24-08.39.35,,22 , 87 , (8 3 9 10 7) , 519 , ((10*8)+7)=87 , 125
2020.11.24-08.39.35,,23 , 87 , (8 3 9 10 7) , 2000 , none,  641
2020.11.24-08.39.35,,24 , 87 , (8 3 9 10 7) , 455 , ((10*9)-3)=87 , 93
2020.11.24-08.39.35,,25 , 87 , (8 3 9 10 7) , 1142 , ((10*9)-3)=87 , 306
2020.11.24-08.39.35,,26 , 87 , (8 3 9 10 7) , 1293 , ((10*9)-3)=87 , 436
2020.11.24-08.39.35,,27 , 87 , (8 3 9 10 7) , 1105 , ((10*8)+7)=87 , 349
2020.11.24-08.39.35,,28 , 87 , (8 3 9 10 7) , 789 , ((10*8)+7)=87 , 186
2020.11.24-08.39.35,,29 , 87 , (8 3 9 10 7) , 569 , ((10*8)+7)=87 , 149
2020.11.24-08.39.35,,30 , 87 , (8 3 9 10 7) , 738 , ((10*8)+7)=87 , 220
2020.11.24-08.39.35,,31 , 87 , (8 3 9 10 7) , 580 , ((10*8)+7)=87 , 174
2020.11.24-08.39.35,,32 , 87 , (8 3 9 10 7) , 2000 , none,  576
2020.11.24-08.39.35,,33 , 87 , (8 3 9 10 7) , 555 , ((9*10)-3)=87 , 157
2020.11.24-08.39.35,,34 , 87 , (8 3 9 10 7) , 1377 , ((8*10)+7)=87 , 392
2020.11.24-08.39.35,,35 , 87 , (8 3 9 10 7) , 287 , ((9*10)-3)=87 , 86
2020.11.24-08.39.35,,36 , 87 , (8 3 9 10 7) , 590 , ((7*10)+(8+9))=87 , 138
2020.11.24-08.39.35,,37 , 87 , (8 3 9 10 7) , 40 , ((10*8)+7)=87 , 2
2020.11.24-08.39.35,,38 , 87 , (8 3 9 10 7) , 1392 , ((10*8)+7)=87 , 364
2020.11.24-08.39.35,,39 , 87 , (8 3 9 10 7) , 594 , ((10*8)+7)=87 , 150
2020.11.24-08.39.35,,40 , 87 , (8 3 9 10 7) , 74 , ((8*10)+7)=87 , 9
2020.11.24-08.39.35,,41 , 87 , (8 3 9 10 7) , 1017 , ((10*9)-3)=87 , 316
2020.11.24-08.39.35,,42 , 87 , (8 3 9 10 7) , 380 , ((10*8)+7)=87 , 81
2020.11.24-08.39.35,,43 , 87 , (8 3 9 10 7) , 289 , ((8*10)+7)=87 , 41
2020.11.24-08.39.35,,44 , 87 , (8 3 9 10 7) , 990 , ((10*8)+7)=87 , 212
2020.11.24-08.39.35,,45 , 87 , (8 3 9 10 7) , 99 , ((10*8)+7)=87 , 20
2020.11.24-08.39.35,,46 , 87 , (8 3 9 10 7) , 1582 , ((10*9)-3)=87 , 415
2020.11.24-08.39.35,,47 , 87 , (8 3 9 10 7) , 74 , ((9*10)-3)=87 , 9
2020.11.24-08.39.35,,48 , 87 , (8 3 9 10 7) , 289 , ((9*7)+(3*8))=87 , 72
2020.11.24-08.39.35,,49 , 87 , (8 3 9 10 7) , 57 , ((10*9)-3)=87 , 0
2020.11.24-08.39.35,,50 , 87 , (8 3 9 10 7) , 1367 , ((10*8)+7)=87 , 308
2020.11.24-08.39.35,,51 , 87 , (8 3 9 10 7) , 222 , ((9*10)-3)=87 , 52
2020.11.24-08.39.35,,52 , 87 , (8 3 9 10 7) , 55 , ((10*9)-3)=87 , 1
2020.11.24-08.39.35,,53 , 87 , (8 3 9 10 7) , 1939 , ((9*10)-3)=87 , 580
2020.11.24-08.39.35,,54 , 87 , (8 3 9 10 7) , 358 , ((10*8)+7)=87 , 44
2020.11.24-08.39.35,,55 , 87 , (8 3 9 10 7) , 234 , ((9*10)-3)=87 , 76
2020.11.24-08.39.35,,56 , 87 , (8 3 9 10 7) , 239 , ((7*10)+(8+9))=87 , 29
2020.11.24-08.39.35,,57 , 87 , (8 3 9 10 7) , 38 , ((10*9)-3)=87 , 2
2020.11.24-08.39.35,,58 , 87 , (8 3 9 10 7) , 717 , ((9*10)-3)=87 , 153
2020.11.24-08.39.35,,59 , 87 , (8 3 9 10 7) , 558 , ((10*9)-3)=87 , 141
2020.11.24-08.39.35,,60 , 87 , (8 3 9 10 7) , 913 , ((10*8)+7)=87 , 225
2020.11.24-08.39.35,,61 , 87 , (8 3 9 10 7) , 42 , ((10*9)-3)=87 , 0
2020.11.24-08.39.35,,62 , 87 , (8 3 9 10 7) , 509 , ((10*9)-3)=87 , 112
2020.11.24-08.39.35,,63 , 87 , (8 3 9 10 7) , 552 , ((10*9)-3)=87 , 153
2020.11.24-08.39.35,,64 , 87 , (8 3 9 10 7) , 1026 , ((10*8)+7)=87 , 237
2020.11.24-08.39.35,,65 , 87 , (8 3 9 10 7) , 706 , ((10*8)+7)=87 , 234
