2020.08.16-16.53.47,v1.05-3-g6ec3b27,0 , 114 , (11 20 7 1 6) , 1733 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,1 , 114 , (11 20 7 1 6) , 389 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,2 , 114 , (11 20 7 1 6) , 1464 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,3 , 114 , (11 20 7 1 6) , 522 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,4 , 114 , (11 20 7 1 6) , 2831 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,5 , 114 , (11 20 7 1 6) , 1122 , ((20 * 6) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,6 , 114 , (11 20 7 1 6) , 3155 , ((20 * 6) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,7 , 114 , (11 20 7 1 6) , 1901 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,8 , 114 , (11 20 7 1 6) , 2544 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,9 , 114 , (11 20 7 1 6) , 326 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,10 , 114 , (11 20 7 1 6) , 566 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,11 , 114 , (11 20 7 1 6) , 779 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,12 , 114 , (11 20 7 1 6) , 647 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,13 , 114 , (11 20 7 1 6) , 1458 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,14 , 114 , (11 20 7 1 6) , 518 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,15 , 114 , (11 20 7 1 6) , 95 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,16 , 114 , (11 20 7 1 6) , 647 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,17 , 114 , (11 20 7 1 6) , 2185 , ((6 * 20) - (7 - 1))
2020.08.16-16.53.47,v1.05-3-g6ec3b27,18 , 114 , (11 20 7 1 6) , 1713 , ((6 * 20) - (7 - 1))
