2020.09.10-09.37.51,v1.06-1-g6e06c66,0 , 114 , (11 20 7 1 6) , 129 , ((6 * 20) - (7 - 1)) , 22
2020.09.10-09.37.51,v1.06-1-g6e06c66,1 , 114 , (11 20 7 1 6) , 140 , ((6 * 20) - (7 - 1)) , 16
2020.09.10-09.37.51,v1.06-1-g6e06c66,2 , 114 , (11 20 7 1 6) , 407 , ((6 * 20) - (7 - 1)) , 83
2020.09.10-09.37.51,v1.06-1-g6e06c66,3 , 114 , (11 20 7 1 6) , 719 , ((6 * 20) - (7 - 1)) , 78
2020.09.10-09.37.51,v1.06-1-g6e06c66,4 , 114 , (11 20 7 1 6) , 479 , ((6 * 20) - (7 - 1)) , 51
2020.09.10-09.37.51,v1.06-1-g6e06c66,5 , 114 , (11 20 7 1 6) , 567 , ((6 * 20) - (7 - 1)) , 87
2020.09.10-09.37.51,v1.06-1-g6e06c66,6 , 114 , (11 20 7 1 6) , 380 , ((6 * 20) - (7 - 1)) , 22
2020.09.10-09.37.51,v1.06-1-g6e06c66,7 , 114 , (11 20 7 1 6) , 55 , ((6 * 20) - 6) , 7
2020.09.10-09.37.51,v1.06-1-g6e06c66,8 , 114 , (11 20 7 1 6) , 507 , ((6 * 20) - (7 - 1)) , 58
2020.09.10-09.37.51,v1.06-1-g6e06c66,9 , 114 , (11 20 7 1 6) , 277 , ((6 * 20) - (7 - 1)) , 18
2020.09.10-09.37.51,v1.06-1-g6e06c66,10 , 114 , (11 20 7 1 6) , 74 , ((6 * 20) - 6) , 0
2020.09.10-09.37.51,v1.06-1-g6e06c66,11 , 114 , (11 20 7 1 6) , 761 , ((6 * 20) - (7 - 1)) , 56
2020.09.10-09.37.51,v1.06-1-g6e06c66,12 , 114 , (11 20 7 1 6) , 286 , ((6 * 20) - (7 - 1)) , 25
2020.09.10-09.37.51,v1.06-1-g6e06c66,13 , 114 , (11 20 7 1 6) , 1188 , ((6 * 20) - (7 - 1)) , 115
2020.09.10-09.37.51,v1.06-1-g6e06c66,14 , 114 , (11 20 7 1 6) , 2000 , none,  315
2020.09.10-09.37.51,v1.06-1-g6e06c66,15 , 114 , (11 20 7 1 6) , 1135 , ((6 * 20) - (7 - 1)) , 152
2020.09.10-09.37.51,v1.06-1-g6e06c66,16 , 114 , (11 20 7 1 6) , 118 , ((6 * 20) - (7 - 1)) , 3
2020.09.10-09.37.51,v1.06-1-g6e06c66,17 , 114 , (11 20 7 1 6) , 225 , ((6 * 20) - (7 - 1)) , 32
2020.09.10-09.37.51,v1.06-1-g6e06c66,18 , 114 , (11 20 7 1 6) , 213 , ((6 * 20) - (7 - 1)) , 10
2020.09.10-09.37.51,v1.06-1-g6e06c66,19 , 114 , (11 20 7 1 6) , 1957 , ((6 * 20) - (7 - 1)) , 414
2020.09.10-09.37.51,v1.06-1-g6e06c66,20 , 114 , (11 20 7 1 6) , 1278 , ((6 * 20) - (7 - 1)) , 180
2020.09.10-09.37.51,v1.06-1-g6e06c66,21 , 114 , (11 20 7 1 6) , 1934 , ((6 * 20) - (7 - 1)) , 355
2020.09.10-09.37.51,v1.06-1-g6e06c66,22 , 114 , (11 20 7 1 6) , 642 , ((6 * 20) - 6) , 88
2020.09.10-09.37.51,v1.06-1-g6e06c66,23 , 114 , (11 20 7 1 6) , 419 , ((6 * 20) - (7 - 1)) , 75
2020.09.10-09.37.51,v1.06-1-g6e06c66,24 , 114 , (11 20 7 1 6) , 387 , ((6 * 20) - (7 - 1)) , 10
2020.09.10-09.37.51,v1.06-1-g6e06c66,25 , 114 , (11 20 7 1 6) , 117 , ((6 * 20) - (7 - 1)) , 3
2020.09.10-09.37.51,v1.06-1-g6e06c66,26 , 114 , (11 20 7 1 6) , 157 , ((6 * 20) - (7 - 1)) , 19
2020.09.10-09.37.51,v1.06-1-g6e06c66,27 , 114 , (11 20 7 1 6) , 908 , ((6 * 20) - 6) , 198
2020.09.10-09.37.51,v1.06-1-g6e06c66,28 , 114 , (11 20 7 1 6) , 227 , ((6 * 20) - (7 - 1)) , 13
2020.09.10-09.37.51,v1.06-1-g6e06c66,29 , 114 , (11 20 7 1 6) , 442 , ((6 * 20) - (7 - 1)) , 44
2020.09.10-09.37.51,v1.06-1-g6e06c66,30 , 114 , (11 20 7 1 6) , 249 , ((6 * 20) - (7 - 1)) , 18
2020.09.10-09.37.51,v1.06-1-g6e06c66,31 , 114 , (11 20 7 1 6) , 358 , ((6 * 20) - (7 - 1)) , 21
2020.09.10-09.37.51,v1.06-1-g6e06c66,32 , 114 , (11 20 7 1 6) , 211 , ((6 * 20) - (7 - 1)) , 25
2020.09.10-09.37.51,v1.06-1-g6e06c66,33 , 114 , (11 20 7 1 6) , 935 , ((6 * 20) - (7 - 1)) , 138
2020.09.10-09.37.51,v1.06-1-g6e06c66,34 , 114 , (11 20 7 1 6) , 177 , ((6 * 20) - (7 - 1)) , 18
2020.09.10-09.37.51,v1.06-1-g6e06c66,35 , 114 , (11 20 7 1 6) , 327 , ((6 * 20) - (7 - 1)) , 43
