2020.09.10-19.40.19,v1.07,48 , 114 , (11 20 7 1 6) , 548 , ((20 * 6) - (7 - 1)) , 110
2020.09.10-19.40.19,v1.07,49 , 114 , (11 20 7 1 6) , 360 , ((20 * 6) - (7 - 1)) , 62
2020.09.10-19.40.19,v1.07,50 , 114 , (11 20 7 1 6) , 418 , ((6 * 20) - (7 - 1)) , 50
2020.09.10-19.40.19,v1.07,51 , 114 , (11 20 7 1 6) , 449 , ((6 * 20) - (7 - 1)) , 47
2020.09.10-19.40.19,v1.07,52 , 114 , (11 20 7 1 6) , 2000 , none,  293
2020.09.10-19.40.19,v1.07,53 , 114 , (11 20 7 1 6) , 2000 , none,  313
2020.09.10-19.40.19,v1.07,54 , 114 , (11 20 7 1 6) , 2000 , none,  472
2020.09.10-19.40.19,v1.07,55 , 114 , (11 20 7 1 6) , 236 , ((6 * 20) - (7 - 1)) , 23
2020.09.10-19.40.19,v1.07,56 , 114 , (11 20 7 1 6) , 2000 , none,  203
2020.09.10-19.40.19,v1.07,57 , 114 , (11 20 7 1 6) , 787 , ((6 * 20) - (7 - 1)) , 121
2020.09.10-19.40.19,v1.07,58 , 114 , (11 20 7 1 6) , 1010 , ((20 * 6) - (7 - 1)) , 161
2020.09.10-19.40.19,v1.07,59 , 114 , (11 20 7 1 6) , 543 , ((20 * 6) - (7 - 1)) , 80
2020.09.10-19.40.19,v1.07,60 , 114 , (11 20 7 1 6) , 2000 , none,  315
2020.09.10-19.40.19,v1.07,61 , 114 , (11 20 7 1 6) , 2000 , none,  430
2020.09.10-19.40.19,v1.07,62 , 114 , (11 20 7 1 6) , 2000 , none,  231
2020.09.10-19.40.19,v1.07,63 , 114 , (11 20 7 1 6) , 2000 , none,  298
2020.09.10-19.40.19,v1.07,64 , 114 , (11 20 7 1 6) , 242 , ((20 * 6) - (7 - 1)) , 37
2020.09.10-19.40.19,v1.07,65 , 114 , (11 20 7 1 6) , 2000 , none,  372
2020.09.10-19.40.19,v1.07,66 , 114 , (11 20 7 1 6) , 1478 , ((20 * 6) - (7 - 1)) , 242
2020.09.10-19.40.19,v1.07,67 , 114 , (11 20 7 1 6) , 930 , ((6 * 20) - (7 - 1)) , 106
2020.09.10-19.40.19,v1.07,68 , 114 , (11 20 7 1 6) , 2000 , none,  341
